Boomnummer,Maatregel,Boomsoort in veld gemuteerd,Diameter afgestorven tak,Kroonsterfte,Leeftijd,Mate van hergroei,Netto ontbladering,Risicoprofiel,Straat,LAT,LON
1866026,Bomen rooien,Fraxinus excelsior,< 4 cm,Ernstige sterfte,8,Minimaal,51-75%,Categorie III,C.H. Letschertweg,52.07026134,5.067719998
1866002,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.04869198,5.064029262
1865965,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,29,Matig,26-50%,Categorie III,Landgoed Amelisweerd,52.06975261,5.165171755
1865926,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Matige sterfte,37,Minimaal,26-50%,Categorie I,Nedereindseweg,52.04812544,5.041053884
1865906,Bomen rooien,Fraxinus ornus,< 4 cm,Matige sterfte,22,Minimaal,26-50%,Categorie I,Jekerstraat,52.07908499,5.110364247
1865874,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.0548179,5.065098075
1865712,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,34,Minimaal,26-50%,Categorie III,Kloosterpark,52.07542092,5.025825791
1865618,Bomen rooien,Fraxinus excelsior,4-10 cm,Matige sterfte,32,Minimaal,26-50%,Categorie I,Ringkade,52.04792585,5.063904467
1865381,Bomen rooien,Fraxinus exelsior 'Atlas',< 4 cm,Matige sterfte,11,Minimaal,26-50%,Categorie II,Oudenrijnseweg,52.07276793,5.044246299
1865319,Bomen rooien,Fraxinus excelsior,4-10 cm,Lichte sterfte,34,Minimaal,26-50%,Categorie III,Kloosterpark,52.07507387,5.027613256
1865239,Bomen rooien,Fraxinus ornus,< 4 cm,Matige sterfte,37,Minimaal,26-50%,Categorie I,Goedestraat,52.09824542,5.131508279
1864999,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,27,Minimaal,26-50%,Categorie II,C.H. Letschertweg,52.07220572,5.041230808
1864711,Bomen rooien,Fraxinus angustifolia,< 4 cm,Matige sterfte,22,Minimaal,51-75%,Categorie I,Kloosterpark,52.07428461,5.030091973
1864602,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,32,Minimaal,51-75%,Categorie I,Ringkade,52.05067705,5.064108675
1864278,Bomen rooien,Fraxinus excelsior,< 4 cm,Matige sterfte,27,Minimaal,51-75%,Categorie I,Landgoed Amelisweerd,52.07120514,5.159083981
1863916,Bomen rooien,Fraxinus excelsior,>10 cm,Boom is dood,51,Niet van toepassing,100%,Categorie III,Landgoed Amelisweerd,52.06947534,5.163514858
1863907,Bomen rooien,Fraxinus excelsior 'Westhof's Glorie',4-10 cm,Matige sterfte,37,Minimaal,26-50%,Categorie I,Nedereindseweg,52.04639216,5.046384453
1863821,Bomen rooien,Fraxinus excelsior,>10 cm,Ernstige sterfte,42,Matig,76-99%,Categorie III,Biltsestraatweg,52.09742473,5.14557698
1863700,Bomen rooien,Fraxinus excelsior,4-10 cm,Ernstige sterfte,37,Minimaal,51-75%,Categorie I,Ringkade,52.05074186,5.06401301
1863658,Bomen rooien,Fraxinus excelsior,4-10 cm,Boom is afstervend,34,Goed,76-99%,Categorie III,Kloosterpark,52.0750322,5.027948206
